Sample_ID	eggs_s1	eggs_s2	larves_s1	larves_s2	females_s1	females_s2	females_s3	females_s4	females_s5	males_s1	males_s2	males_s3	males_s4	males_s5
12452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132.0	0.0
12453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	207.0	0.0
12454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	1.0
12455	0.0	0.0	0.0	0.0	0.0	676.0	0.0	0.0	1643.0	0.0	0.0	0.0	0.0	282.0
12456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0
12457	0.0	1.0	0.0	3.0	1.0	0.0	0.0	0.0	1.0	3.0	0.0	2.0	0.0	984.0
12458	10.0	0.0	10.0	4.0	7.0	1476.0	1737.0	6.0	34428.0	631.0	3.0	26353.0	51632.0	55940.0
12459	11.0	27.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	313.0	0.0	29.0	0.0	134.0
12460	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	43.0
12461	0.0	0.0	0.0	0.0	0.0	11.0	0.0	1.0	0.0	8.0	425.0	0.0	15.0	0.0
12462	83.0	79.0	3.0	0.0	31.0	2.0	45384.0	162.0	2.0	1161.0	7837.0	994.0	277.0	193.0
12463	1.0	0.0	0.0	0.0	1.0	66.0	0.0	339.0	0.0	345.0	1528.0	58.0	164.0	20.0
12465	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	2.0	103.0	0.0	0.0	0.0
12466	0.0	0.0	0.0	0.0	5.0	218.0	0.0	1.0	0.0	123.0	2131.0	4.0	12.0	24.0
12467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
12470	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	12.0	0.0	0.0	0.0
12472	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12473	6162.0	7204.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0
12476	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12477	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12478	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12479	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
12482	0.0	3.0	28.0	0.0	2.0	2.0	24.0	9.0	9.0	0.0	11.0	1.0	220.0	18.0
12486	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12487	99.0	173.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0
12488	151.0	217.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
12493	0.0	0.0	0.0	0.0	0.0	305.0	1.0	0.0	1689.0	1.0	0.0	0.0	0.0	56.0
12494	4.0	6.0	58.0	10976.0	6.0	50924.0	1.0	3.0	71819.0	5.0	1.0	15.0	1.0	5236.0
12496	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12498	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12501	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	357.0	0.0	0.0	0.0	0.0
12503	37.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
12505	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12506	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12511	3225.0	3820.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	11.0	0.0	0.0
12512	160.0	104.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12515	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12522	130.0	202.0	176.0	610.0	1299.0	3.0	77.0	309.0	21.0	153.0	17.0	28.0	120.0	35.0
12523	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12524	9.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12526	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12533	21407.0	23154.0	77.0	48.0	0.0	3.0	4.0	17.0	8.0	0.0	7.0	18.0	21.0	3.0
